playlistnumber,songname,id,artistname,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
2,Teri Jhuki Nazar,3beYHVCFKzbdNjJqjKeYpM,Shafqat Amanat Ali,0.707,0.386,279187,0.815,0,11,0.159,-3.395,1,0.0417,124.293,0.349
2,"Ye Ishq Hai (From ""Jab We Met"")",1UHVj0W8BRn08AXvWcv8i6,Shreya Ghoshal,0.436,0.823,280974,0.637,2.15E-06,5,0.255,-7.127,0,0.159,118.043,0.873
3,Kabira,4bD9z9qa4qg9BhryvYWB7c,Rekha Bhardwaj,0.481,0.59,223460,0.555,0,2,0.192,-6.852,1,0.0271,84.032,0.191
3,Abhi Mujh Mein Kahin,73y649QhnXdcm6fRdvfraO,Sonu Nigam,0.755,0.334,364787,0.387,3.94E-05,2,0.113,-9.483,1,0.0332,129.959,0.42
3,Mitwa,4BTPzhEsyW3blWcxcuhLM0,Shankar Mahadevan,0.295,0.63,382973,0.63,1.26E-05,4,0.0934,-7.525,1,0.0364,107.103,0.517
3,Subhanallah,0GQngE2rOYvlKwEQjTAsP8,Sreeram,0.452,0.302,249707,0.494,0,9,0.134,-5.041,1,0.0451,88.586,0.454
3,Kahin To,3E424W0IJS3ypZ4YOxE0Jn,Rashid Ali,0.334,0.61,303206,0.492,6.30E-06,10,0.0979,-7.55,1,0.0261,90.984,0.165
3,Moh Moh Ke Dhaage (Male),189DQylImZ1hGZaIpAQUzx,Papon,0.741,0.634,322900,0.344,6.09E-05,2,0.111,-11.011,1,0.0288,128,0.409
3,"Humsafar (From ""Badrinath Ki Dulhania"")",7aE1lfskJLMHQnzCCP1zsV,Akhil Sachdeva,0.719,0.319,268463,0.552,0,7,0.144,-6.401,1,0.0307,93.991,0.221
3,Love You Zindagi,6k3XXCE1ZzwevQlxf8dNaw,Amit Trivedi,0.06,0.688,232505,0.701,0.0301,3,0.271,-7.505,1,0.0298,110.019,0.385
3,Sau Aasmaan,0zHZSO80CTxNtvtRhveHRJ,Armaan Malik,0.123,0.63,234737,0.729,8.00E-06,6,0.0786,-4.93,1,0.0287,127.919,0.44
3,O Re Piya,7cWnks0lsRtpAi87COOiXK,Rahat Fateh Ali Khan,0.779,0.586,379768,0.532,0.000565,11,0.124,-8.837,0,0.0328,99.994,0.494
